Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Belarus,BLR,"Human capital per capita, male (constant 2018 US$)",NW.HCA.MALE.PC,18639.2976193183,20980.2807127771,18683.9765404366,20647.9061302694,24361.6278561756,23977.6545172502,22101.4420524828,21348.3161853032,21816.706761103,22075.8876099875
Belarus,BLR,"Human capital per capita, self-employed female (constant 2018 US$)",NW.HCA.FSEM.PC,1218.68746156352,1583.23247991738,1319.21954859749,1479.76409621244,1766.77842922405,1601.62542675092,1359.87921237465,1306.75457755274,1332.78893152614,1345.46417373671
Belarus,BLR,"Human capital per capita, self-employed male (constant 2018 US$)",NW.HCA.MSEM.PC,1367.85459437326,1777.18752407763,1482.3230410891,1694.8872581585,2039.90201563523,1859.42834167906,1588.27780327285,1534.15585525374,1567.81584689765,1586.44138220612
Belarus,BLR,"Human capital, employed female (constant 2018 US$)",NW.HCA.FEMP.TO,146289714500.669,162358681622.017,145023985733.393,156612893041.338,183006667801.561,180504738696.21,166669128636.473,160359224665.235,163497759146.592,164796100804.891
Belarus,BLR,"Human capital, employed male (constant 2018 US$)",NW.HCA.MEMP.TO,164195550049.041,182248549764.087,162954222283.721,179380752349.999,211297389841.377,209559377200.937,194662051669.931,188264918057.417,192329311610.323,194311642811.718
Belarus,BLR,"Human capital, female (constant 2018 US$)",NW.HCA.FEMA.TO,157875489806.2,177384480880.969,157521179423.019,170618112931.12,199730987112.26,195679356419.841,179573860168.291,172775397713.508,176156940274.505,177555808951.059
Belarus,BLR,"Human capital, male (constant 2018 US$)",NW.HCA.MALE.TO,177199422231.918,199115095467.91,176996523411.521,195422004330.404,230607096201.674,227176551477.886,209734198124.313,202841752077.409,207220840427.541,209356658073.429
Belarus,BLR,"Human capital, self-employed female (constant 2018 US$)",NW.HCA.FSEM.TO,11585775305.5309,15025799258.9517,12497193689.6264,14005219889.7821,16724319310.6996,15174617723.6313,12904731531.8179,12416173048.273,12659181127.9132,12759708146.1679
Belarus,BLR,"Human capital, self-employed male (constant 2018 US$)",NW.HCA.MSEM.TO,13003872182.8769,16866545703.8232,14042301127.8001,16041251980.4048,19309706360.2971,17617174276.9501,15072146454.3829,14576834019.9925,14891528817.2174,15045015261.7104
Belarus,BLR,Natural capital (constant 2018 US$),NW.NCA.TO,69029649620.6938,75193678346.3499,78562536967.3441,82818593523.3932,85433027613.1689,87216719214.5199,87582152403.1314,88399204110.317,87557752110.2081,90131723966.7005
