,user,text,favorite_count,retweet_count,created_at
79,nanashimumei_en,"Weekly Schedule!
#watchMEI https://t.co/RcWmuvnJau",5487,523,2022-11-07 12:57:29+00:00
80,nanashimumei_en,"@sakamatachloe @tanigox すげえええええ !!!
たくさんの才能があるんですね 🤎👀",3531,178,2022-11-07 11:09:43+00:00
81,nanashimumei_en,@tanigox かわいい！,7268,271,2022-11-07 08:00:35+00:00
82,nanashimumei_en,Starting now! https://t.co/1SpN3TMEZ6,1979,146,2022-11-07 02:33:56+00:00
83,nanashimumei_en,@NascarFan_328 cutes!! 🦉,834,20,2022-11-07 01:17:08+00:00
84,nanashimumei_en,"thumbnail!
https://t.co/Rj1ulZCSIa",696,34,2022-11-07 00:19:22+00:00
85,nanashimumei_en,"【RESIDENT EVIL 7: BIOHAZARD】

Hoo's next? :D
6:30 PM PST / 11:30 AM JST

▶️ https://t.co/fXqsaKOomp https://t.co/6STfc4iKal",2966,287,2022-11-07 00:18:57+00:00
86,nanashimumei_en,"The choices I made yesterday are affecting me today.🦉
I'll get a schedule up soon and stream tomorrow!! https://t.co/oaQwuBkJNb",6115,251,2022-11-06 00:01:52+00:00
87,nanashimumei_en,Thank you Youmacon ! :D,6061,218,2022-11-05 20:30:51+00:00
88,nanashimumei_en,"thumbnail!
https://t.co/BaPQy6gOmA",816,31,2022-11-05 00:59:38+00:00
89,nanashimumei_en,"Let's let off some steam together ଘ(੭*ˊᵕˋ)੭* ੈ♡‧₊˚

▶️ https://t.co/GLN23lGhlK https://t.co/52e9dJjGAY",4392,347,2022-11-05 00:59:16+00:00
90,nanashimumei_en,"Even if I do not get all of my work done in time, I will stream later |･ω･) https://t.co/u36qdjHzS2",4637,205,2022-11-05 00:28:33+00:00
91,nanashimumei_en,@Drail_ Continue working in disappointment 🥹,565,26,2022-11-04 21:40:42+00:00
92,nanashimumei_en,"If I get all my work done in time, I will stream later ｜−・;）",6481,254,2022-11-04 21:33:43+00:00
93,nanashimumei_en,"o̶̧͔̗͖͔͉̳̫̺͎͓̓̎̂̓̈̄̉̊̍̂̈̈́͑̄͜͜ͅo̸̡̧̗̼̠̫͆̊͊̈́͆̔͒̌̾͌̚͠o̵̗̝̔̈́̅̆͝ỏ̵̗̫͌͋̎̄̈́

https://t.co/aVaumjb0kN",6572,589,2022-11-04 01:58:45+00:00
94,nanashimumei_en,@moricalliope @watsonameliaEN I agree👁️ ͜ʖ👁️,5851,155,2022-11-03 07:24:33+00:00
95,nanashimumei_en,i what? https://t.co/HD5l1CII8x,16142,750,2022-11-03 05:08:39+00:00
96,nanashimumei_en,@Shinobu_Otaku I want one!!!,729,39,2022-11-02 07:32:36+00:00
97,nanashimumei_en,HOO???? https://t.co/mv2SfbgN5b,6378,314,2022-11-01 06:27:35+00:00
98,nanashimumei_en,hoo??? https://t.co/rTBYJsczgA,6311,273,2022-11-01 06:27:19+00:00
99,nanashimumei_en,@kudarannnS Thank YOU for making me such a comfy Boomei outfit for the month!! 🤎,1829,51,2022-11-01 06:24:14+00:00
100,nanashimumei_en,b...oo,9685,392,2022-11-01 06:15:57+00:00
101,nanashimumei_en,BOO! Starting now! https://t.co/AhNaxNMLh9,2388,191,2022-11-01 03:11:01+00:00
102,nanashimumei_en,"【KARAOKE】

Let's sing spooky tunes tonight!!

https://t.co/kBC2EBkEjc https://t.co/of8375PnDK",3078,366,2022-10-31 23:39:36+00:00
103,nanashimumei_en,"Thank you for watching us fumble and stumble through the mansion !
🖤🧡💛💜",5751,300,2022-10-31 05:26:22+00:00
104,nanashimumei_en,"【 HOLOEN ESCAPE ROOM 】

I'll be streaming the first person POV of the escape room!! 
🎃🪦🕯️🍬Spooky 🍬🕯️🪦🎃

https://t.co/WxF50oI6dq https://t.co/f8TFIkWXOD",4159,530,2022-10-30 23:05:05+00:00
105,nanashimumei_en,booooooooooo ooo o ooooo,8720,457,2022-10-30 22:33:55+00:00
106,nanashimumei_en,Starting now :D https://t.co/CMqtbyYEgo,1984,150,2022-10-30 02:04:40+00:00
107,nanashimumei_en,"thumbnail!
https://t.co/jW8IH97Rvx",626,32,2022-10-30 00:23:08+00:00
